id,name,types,country,region,city,address,lat,lon,description,tags,contact.url,contact.email,source,verified,added,last_checked
seeking-a-russian-speaking-au-pair-andora-sant-julia-de-loria,Seeking a Russian-Speaking Au Pair (Andora),volunteer-project,AD,,Sant Julià de Lòria,"Andorra, Sant Julià de Lòria",42.465175,1.490311,"Living in a microstate is a unique cultural experience. You'll learn the Catalan way of life, from the local language to the rhythms of mountain living. Whether we're heading to a local village festival, going for a weekend hike, or taking a day trip across the...",pragmatic,https://helpstay.com/stays/Au-Pair-Andora,,quellen/crawler-7-volunteer.md,false,2026-07-12,
create-sustainable-living-conditions-in-the-beauti,"Create sustainable living conditions in the beautiful countryside and explore Tirana, Albania",volunteer-project,AL,,,"1001 Tirana, Albania",41.324270,19.817043,"Hello there! I am Julian, I live in a small village just 30 minutes outside of the capital, Tirana. This is the perfect spot to relax and turn dreams into reality.",pragmatic|language-exchange,https://www.workaway.info/en/host/556688691357,,quellen/crawler-3-workaway-1.md,false,2026-07-12,
volunteer-at-a-hostel-in-central-tirana-albania-tirana,Volunteer at a Hostel in Central Tirana (Albania),volunteer-project,AL,,Tirana,"Albania, Tirana",41.327733,19.816812,Our hostel is a budget-friendly hostel with a nice terrace. We would like to connect with travellers who can help with general chores. The work is not complicated or demanding.,pragmatic,https://helpstay.com/stays/Budget-Hostel-Tirana-Albania,,quellen/crawler-7-volunteer.md,false,2026-07-12,
help-at-our-campsite-with-different-tasks-albania-shenkoll,Help at Our Campsite with Different Tasks (Albania),volunteer-project,AL,Lezhë,Shënkoll,"Albania, Shënkoll, Lezhë",41.702702,19.631236,"Hello from Alessandra and Daniele, two Italians who moved to Albania in 2022 with the dream of opening a campsite and living close to animals and nature. Our place is located in Shënkoll, Lezhë, Albania, and we have four dogs, four cats, 30 chickens, 10 ducks, and...",pragmatic|biofarm,https://helpstay.com/stays/Campsite-Different-Tasks-Albania,,quellen/crawler-7-volunteer.md,false,2026-07-12,
agustin-somos-amantes-de-la-agrofloresta-la-vida-e-ar,"Agustin - Somos amantes de la Agrofloresta, la vida en comunidad, el rio, las casas sustentables, y mucho mas!",wwoof-farm,AR,,,Argentina,-25.922335,-54.594500,"“Acauapy” significa en guaraní “asentar cabeza” y hace referencia al momento en que los tupí guaraníes, comunidad nómada viajera, llegaron a la region de las cataratas de Yguazu, conectando con su abundancia, y asi se asentaron en tribu. De la misma manera, Acauapy...",ecovillage|permaculture|community-living|biofarm|biodynamic|holistic,https://wwoof.net/host/51588-somos-amantes-de-la-agrofloresta-la-vida-en-comunidad-el-rio-las-casas-sustentables-y-mucho-mas!,,quellen/crawler-7-volunteer.md,false,2026-07-12,
alejandro-agritourism-destination-ar,Alejandro - Agritourism Destination,wwoof-farm,AR,,,Argentina,-26.073080,-65.976052,Somos Una Pequeña granja Destinada a la cría de animales ya la fabricación de quesos de cabra ... también criamos caballos ... cerdos..y llamas ...,ecovillage|permaculture|community-living|biofarm,https://wwoof.net/host/43692-agritourism-destination,,quellen/crawler-7-volunteer.md,false,2026-07-12,
ana-somos-una-pareja-joven-que-hace-poco-tiempo-co-ar,Ana - Somos una pareja joven que hace poco tiempo comenzamos nuestro proyecto de vida rural y sustentable,wwoof-farm,AR,,,Argentina,-31.719651,-68.587281,"Hola! Somos Ana y Kevin, tenemos 30 y 34 años. Vivimos en la provincia de San Juan en el departamento Pocito a 25 km de la capital.",ecovillage|permaculture|community-living|biofarm|biodynamic,https://wwoof.net/host/55305-somos-una-pareja-joven-que-hace-poco-tiempo-comenzamos-nuestro-proyecto-de-vida-rural-y-sustentable,,quellen/crawler-7-volunteer.md,false,2026-07-12,
astrid-eco-lodge-wilderness-adventures-ar,Astrid - Eco Lodge/Wilderness Adventures,wwoof-farm,AR,,,Argentina,-45.126181,-66.537237,Important:  THE LODGE IS CLOSED FROM MAY TO SEP. DONT APPLY FOR THESE MONTHS. ITS OUR WINTER TIME AND WE DONT HAVE AN OPERATION RUNNING.,ecovillage|permaculture|community-living|biofarm|biodynamic,https://wwoof.net/host/43722-eco-lodgewilderness-adventures,,quellen/crawler-7-volunteer.md,false,2026-07-12,
carlos-family-farm-ar,Carlos - Family farm,wwoof-farm,AR,,,Argentina,-37.190955,-58.870239,"Nuestra Familia esta Compuesta por 4 personajes: Carlos 48 años de Edad, Samanta 45 Años de Edad, Mateo 11 y Tomás 3 años de Edad. Vivimos En Una Cabaña De Madera Que Construimos Con Los Árboles Del Lugar. TENEMOS UN huerto de 700m2, tenemos un invernadero.",ecovillage|permaculture|community-living|biofarm|biodynamic,https://wwoof.net/host/43965-family-farm,,quellen/crawler-7-volunteer.md,false,2026-07-12,
damian-cultivo-agroecologico-de-citricos-bioconstr-ar,"Damian - Cultivo agroecologico de cítricos, bioconstrucción",wwoof-farm,AR,,,Argentina,-32.084770,-60.455400,"Somos Damián y Nadia, junto a nuestros 6 hijos vivimos en un predio rural a 7 km de Libertador San Martín, provincia de Entre Rios. Nos dedicamos al cultivo de cítricos agroecológicos (naranjas ombligo, de jugo, limones, mandarinas), elaboramos diversos productos...",ecovillage|permaculture|community-living|biofarm|holistic,https://wwoof.net/host/50373-cultivo-agroecologico-de-citricos-bioconstruccion,,quellen/crawler-7-volunteer.md,false,2026-07-12,
